#rp040090.L03         Number of runs:    200
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 1.00000E-11 0.00000E+00 0.00000E+00 0.00000E+00
 2.53000E-08 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-06 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-05 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-04 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-04 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E-04 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E-04 0.00000E+00 0.00000E+00 0.00000E+00
 6.40000E-04 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 3.20000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.50000E+00 0.00000E+00 0.00000E+00 0.00000E+00
